Titre;Artiste;Album;Duree_min;Lectures;Minutes_totales;Has_Pochette;Rang_lectures;Rang_minutes;Rang_zscore;Rang_jessye;Artwork_URL;Lien_YouTube;Commentaire
Sur ma musique;Sonia;Vidal Benjamin présente Disco Sympathie;3.951;42;165.961;Oui;17;21;16;24;https://i.discogs.com/c-6i9enTeGgB54KuJzplcn7unT2SgZ4d-7EXSVgzhkI/rs:fit/g:sm/q:90/h:600/w:597/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzMTEx/MzgwLTE2NzI1MDU4/NzctMjA4Ni5qcGVn.jpeg;https://www.youtube.com/watch?v=PbqH1aUSAps;
Beat the Clock;Sparks;N° 1 in Heaven;4.364;23;100.376;Oui;110;85;108;122;https://i.discogs.com/DOModvyTq_TKjPVNWfr_OTsE-Uidzh1JRu3FalESIQA/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQxMTU2/Mi0xMjI0ODQ0OTQ4/LmpwZWc.jpeg;https://www.youtube.com/watch?v=JoMCip83GZ4;
The Number One Song in Heaven;Sparks;N° 1 in Heaven;7.546;27;203.739;Oui;65;13;37;8;https://i.discogs.com/Hq3er4DWuhJnXrLNouGBeCXziA_u0Z5lChHIlGGd-_k/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMTU0/NzUtMTI2NDg2OTUz/NC5qcGVn.jpeg;https://www.youtube.com/watch?v=P6I6yr7WDeg;
Go Cubs Go;Steve Goodman;No Big Surprise (Disc 1);2.856;38;108.53;Non;26;73;35;33;https://lh3.googleusercontent.com/proxy/fc9x6pfO3YVUnAXFvq5OKkrEvZARfayUm4lYM1hZ9P1IAHPeynEwXQai-2Mbjs6srsnJDKvDDyIuBDmhAoheaJ-Al1fuo3x9DWnUqQ;https://www.youtube.com/watch?v=A9XtDyDUjIU;
Brother Louie;Stories;Billboard Top 100 of 1973;3.886;26;101.039;Non;75;83;85;85;https://i.discogs.com/ix1rGHUxnRElHSKJo40IkzCsi5fVHsVrns6ABQVfRb4/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0MTE4/NTQtMTMyOTM5Mjc1/Ni5qcGVn.jpeg;https://www.youtube.com/watch?v=C6yLdrkP-Bk;
Crystal Ball;Styx;Greatest Hits;4.536;25;113.404;Oui;83;63;80;93;https://i.discogs.com/Cq1YoGTT97KY6R_UvJCSHm5x-GxAwZ3hynHpCSh5AiU/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYyMjE5/MjYtMTQxNDA4MDg4/OC03NjQzLmpwZWc.jpeg;https://www.youtube.com/watch?v=9b-i0XknSnM;
Mr. Roboto;Styx;The Greatest Hits;5.472;23;125.849;Non;110;52;78;122;https://i.discogs.com/QYwQ6OQVlYTGUO3FeYcv01W1ir6MnwI7SvXwBHlz5zI/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMzOTAx/My0xNDA0ODEyMjcy/LTg4OTcuanBlZw.jpeg;https://www.youtube.com/watch?v=uc6f_2nPSX8;
Tu reviendras;Sylvain Cossette;*multiple*;3.729;26;96.962;Oui;75;96;88;85;https://i.discogs.com/jM562dzYI2Yc8UwxpyF55w7gd-0l_OVc_39SOeL9ptE/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk2NjE5/NzQtMTQ4NDM4NzM1/OC05NjM2LmpwZWc.jpeg;https://www.youtube.com/watch?v=HTNoegHUBl4;
She's so High;Tal Bachman;The Classic 90s Collection;3.71;47;174.382;Non;10;18;10;14;https://i.discogs.com/vgTuSEP5JxcKIYIWzWDBFsbqaBcv7E7V0OpYqFIjKTQ/rs:fit/g:sm/q:90/h:516/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ5ODg3/NzktMTY4MzE3NDYz/NS0yMDg3LmpwZWc.jpeg;https://www.youtube.com/watch?v=_ElORM9O-0U;
She Caught The Katy;The Blues Brothers;The Blues Brothers: Music from the Soundtrack;4.218;24;101.23;Oui;97;82;98;107;https://i.discogs.com/1D9SyeyxbDJFCiUggp80ycgp0AmAYJcb4Rq_C3PoRpY/rs:fit/g:sm/q:90/h:600/w:596/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5MDAx/MzYtMTQ0ODA4Nzc4/Mi00MTYyLmpwZWc.jpeg;https://www.youtube.com/watch?v=o5xexv-dMrM;
